ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.39,233.76,399.97,3.34,13.03,255.04,0.65,66.35,1.24,1.0
6.57,55.44,20.14,2.43,27.03,19.75,0.9,34.84,17.93,
7.14,232.09,373.53,0.75,29.22,268.78,1.05,3.07,1.36,1.0
7.74,10.56,10.0,2.37,30.63,19.85,0.82,37.64,0.25,1.0
8.33,249.38,425.1,2.2,34.06,262.03,0.95,53.0,1.62,1.0
7.28,213.86,477.05,3.31,63.88,333.65,2.18,71.02,1.78,1.0
7.33,205.82,181.53,2.47,15.94,112.0,2.03,27.38,12.59,
7.95,147.75,324.71,2.48,21.57,186.35,0.16,48.89,0.89,1.0
6.5,346.5,690.83,2.2,18.38,445.6,0.88,36.35,0.11,1.0
8.69,108.67,198.85,1.23,69.7,158.02,0.58,28.33,0.13,1.0
6.7,10.0,88.22,2.67,47.45,60.65,0.34,42.86,0.04,1.0
5.87,355.21,596.33,1.97,40.35,387.87,1.0,35.77,0.09,
7.41,449.9,692.52,1.05,16.32,482.88,0.72,28.92,0.5,1.0
8.76,230.21,300.74,1.34,,166.85,1.49,2.62,0.3,1.0
7.87,342.11,502.29,0.86,115.26,300.78,0.1,16.56,0.78,1.0
8.0,325.7,568.3,3.06,38.45,337.07,0.36,34.2,0.2,1.0
7.43,93.38,151.5,3.98,158.42,105.93,0.03,55.05,1.73,1.0
7.28,142.16,202.94,3.16,80.91,135.24,1.37,47.34,0.03,1.0
6.16,239.82,546.17,2.38,123.17,385.87,2.44,25.57,0.03,1.0
5.59,410.73,637.0,1.93,89.74,418.92,0.89,23.2,12.96,
7.56,174.68,412.58,1.71,56.34,260.09,0.96,11.63,1.09,1.0
8.45,176.44,124.04,1.01,26.09,80.66,0.05,9.27,0.79,1.0
7.68,398.22,697.41,3.95,10.93,455.67,0.7,64.32,0.34,1.0
7.9,107.04,193.81,0.97,94.79,92.54,0.75,23.14,0.16,1.0
8.67,101.3,232.97,1.15,60.6,205.64,0.04,9.56,0.01,1.0
7.66,189.58,368.47,1.8,74.66,249.9,1.53,40.35,0.36,1.0
7.3,480.2,610.83,1.89,82.58,401.24,0.33,34.08,0.32,1.0
6.75,329.5,470.8,2.6,64.24,318.32,1.29,53.36,0.21,1.0
9.02,152.32,382.97,1.33,31.13,263.12,0.52,2.19,0.43,
7.82,310.81,392.66,0.01,90.51,252.42,5.44,3.28,13.77,
6.65,244.88,308.7,1.77,42.07,188.03,0.24,32.64,0.6,1.0
6.46,232.92,411.63,1.84,53.62,279.55,0.06,10.35,0.15,1.0
8.4,21.33,10.0,1.75,78.7,14.21,3.91,50.46,16.64,
6.57,143.66,240.68,1.74,47.64,140.24,0.28,19.76,0.08,1.0
8.88,307.59,348.26,1.65,,254.75,1.01,30.18,12.18,
5.19,10.0,69.8,0.68,91.62,51.24,0.47,19.4,0.77,
8.54,233.66,377.26,3.46,100.2,259.82,1.02,52.94,0.59,1.0
7.79,134.06,259.11,3.41,,196.26,0.91,64.94,0.73,1.0
7.49,319.01,651.1,3.4,8.27,423.65,1.23,70.88,11.41,
7.26,478.34,614.6,0.81,130.96,405.83,0.02,1.12,1.23,1.0
8.91,65.03,206.84,2.4,59.28,150.65,1.81,37.22,0.07,1.0
7.97,172.91,269.83,1.58,50.14,160.89,0.65,32.81,1.02,1.0
6.68,84.09,285.21,1.52,32.94,186.47,0.73,6.51,9.33,
6.02,105.85,209.67,1.07,8.77,138.8,0.53,26.71,0.06,1.0
7.54,224.5,339.0,4.57,42.22,201.23,4.55,85.55,0.17,
7.4,47.77,148.34,1.75,88.98,142.78,1.62,39.11,0.1,1.0
6.18,73.67,73.88,1.08,49.37,19.87,0.37,20.55,0.34,1.0
4.89,241.27,424.54,2.14,74.41,249.99,1.53,47.47,1.5,
6.94,313.55,425.91,2.76,120.63,303.12,0.57,45.02,0.2,1.0
7.41,151.57,139.14,1.86,26.78,104.7,2.04,14.68,0.47,1.0
7.98,258.11,479.07,2.24,62.11,290.88,0.03,28.44,1.11,1.0
8.59,108.05,173.68,3.0,90.18,125.04,0.44,42.47,0.5,1.0
8.13,219.55,350.63,1.05,12.68,257.27,0.56,15.04,0.22,1.0
6.82,309.41,464.07,2.18,57.12,301.04,1.36,31.72,2.35,1.0
7.7,176.69,293.28,1.36,124.89,242.61,0.2,17.03,0.1,1.0
7.45,244.08,390.95,1.23,36.39,219.64,0.34,20.57,0.37,1.0
6.33,105.86,196.71,3.75,92.73,141.74,1.29,71.32,0.8,1.0
7.72,162.19,260.71,1.91,44.35,192.79,0.08,30.8,,1.0
8.89,220.19,258.83,0.94,121.98,186.07,0.22,20.36,0.61,1.0
7.43,122.71,150.68,1.89,,93.86,1.4,6.39,0.15,
6.12,193.85,264.65,0.79,52.6,166.21,2.08,13.12,0.09,1.0
7.42,42.15,10.0,1.78,,15.38,1.31,37.61,6.92,
6.43,113.37,201.77,1.32,21.96,147.47,0.75,32.29,1.7,1.0
4.1,161.76,243.02,2.51,21.73,170.02,0.1,49.12,1.11,
7.82,95.0,248.76,3.94,39.32,182.5,1.76,62.09,0.12,1.0
7.26,214.46,251.7,1.83,2.47,143.23,0.13,31.52,0.06,1.0
7.14,33.44,287.65,1.36,47.13,182.42,0.49,13.66,0.23,1.0
7.23,233.18,395.89,2.09,68.42,238.53,0.05,39.82,0.45,1.0
7.41,341.99,474.9,3.49,,300.96,1.24,45.7,1.01,1.0
6.78,33.83,170.05,2.52,24.6,130.83,0.7,44.55,1.69,1.0
6.29,55.6,59.36,1.86,151.64,40.74,2.38,28.3,0.7,1.0
8.31,20.92,91.59,,63.17,111.67,0.15,0.15,0.46,1.0
7.09,103.1,202.56,1.95,,135.53,1.71,39.23,0.08,1.0
7.53,185.07,229.62,2.78,,150.44,0.71,47.26,0.04,1.0
7.63,97.5,146.0,2.96,59.04,97.02,0.46,47.19,0.45,1.0
7.66,10.0,40.78,3.31,54.03,13.75,1.03,44.69,0.39,1.0
6.46,76.44,208.78,1.33,26.5,134.55,1.56,35.91,0.94,1.0
6.06,250.54,336.29,1.6,137.73,241.14,0.58,27.28,0.19,1.0
6.93,273.85,419.01,1.88,154.75,274.63,0.27,35.67,0.02,1.0
7.72,200.52,188.52,2.71,39.42,106.67,2.47,41.45,0.28,1.0
6.82,214.57,217.4,1.74,84.92,122.81,0.38,19.12,1.74,1.0
4.36,51.68,114.66,2.52,86.93,65.53,6.34,41.42,0.79,
9.1,301.39,293.71,1.62,92.23,192.39,1.46,18.28,0.02,
5.92,79.41,130.31,1.29,24.4,108.58,1.16,23.79,1.04,
6.8,200.64,414.63,3.11,127.58,242.7,0.01,13.99,0.32,1.0
8.92,10.0,10.0,2.31,47.26,5.0,0.6,30.68,0.23,1.0
7.36,24.01,228.07,2.75,66.88,151.13,0.7,41.06,0.21,1.0
4.93,296.48,360.22,1.79,50.08,197.47,0.47,17.36,0.45,1.0
8.34,281.8,336.77,2.8,44.41,202.23,0.16,45.7,0.38,1.0
7.44,452.39,838.61,0.94,61.14,531.5,0.46,9.84,0.53,1.0
7.12,210.58,369.96,1.1,2.56,224.55,0.08,16.39,0.43,1.0
7.55,64.29,99.19,2.94,,68.31,0.34,38.62,0.08,1.0
6.87,120.53,280.91,1.93,41.46,179.38,0.09,38.67,0.15,1.0
6.59,10.0,10.0,1.75,14.78,5.0,1.4,31.76,0.92,1.0
7.31,159.81,283.88,1.08,71.9,193.08,1.11,19.19,0.54,1.0
6.59,63.98,133.39,2.8,67.35,121.16,2.81,42.69,0.3,1.0
7.41,270.43,483.08,3.87,50.54,346.79,0.48,83.29,0.1,1.0
7.68,125.19,190.09,2.61,109.26,85.1,1.54,37.54,,1.0
8.08,237.46,276.65,1.55,49.75,191.36,0.89,16.29,0.19,1.0
8.3,88.58,172.89,3.39,,108.82,1.04,39.07,0.03,1.0
7.08,397.18,647.77,2.36,41.05,424.15,0.79,44.44,0.33,1.0
7.8,177.79,235.75,1.57,96.84,145.27,1.51,39.82,0.86,1.0
7.79,427.61,666.51,3.28,,435.58,0.04,40.65,0.17,1.0
7.66,246.98,462.83,1.82,46.24,303.87,0.08,24.44,0.94,1.0
7.02,242.67,396.41,0.56,73.02,246.09,0.1,4.77,7.86,
6.58,251.62,373.75,1.68,156.09,225.01,0.34,23.99,0.07,1.0
3.85,170.84,378.76,2.53,98.33,237.22,0.89,20.3,0.52,1.0
6.03,69.18,10.0,1.28,55.3,11.19,1.04,27.3,0.08,1.0
7.19,218.11,244.22,0.13,70.83,170.73,1.25,13.82,0.53,1.0
5.36,245.28,469.03,3.47,,321.94,0.33,33.0,5.01,
6.33,183.82,290.22,4.99,8.01,178.76,1.05,92.49,0.25,
6.7,43.49,18.96,1.52,76.04,18.0,0.13,39.04,0.42,1.0
8.28,146.43,289.52,1.37,56.45,207.44,0.01,,0.03,1.0
7.95,408.57,640.82,0.65,61.55,439.85,1.19,,0.08,1.0
6.96,337.79,549.38,1.18,51.36,355.92,1.26,16.35,0.19,1.0
7.98,99.16,287.6,0.47,49.8,182.52,0.97,20.24,0.31,1.0
8.11,317.13,490.29,0.7,54.12,322.51,0.3,13.32,0.98,1.0
7.27,81.01,226.7,2.0,7.76,124.36,2.62,30.25,0.1,1.0
6.29,52.96,10.0,0.42,40.84,5.0,2.08,12.05,0.21,1.0
7.23,35.5,115.11,0.53,0.24,89.71,0.72,,0.32,1.0
7.32,359.48,612.58,2.21,25.22,411.01,4.52,45.88,18.04,
6.41,215.73,245.2,1.38,97.84,153.98,0.35,19.7,0.49,1.0
7.69,175.61,251.32,2.36,42.77,167.71,0.68,19.02,0.15,1.0
4.87,90.05,240.03,1.66,73.83,139.53,2.63,16.92,0.74,1.0
7.76,357.75,680.83,1.81,54.61,456.61,0.62,30.91,0.35,1.0
7.62,345.15,625.19,2.78,34.6,404.82,0.64,38.8,0.05,1.0
7.98,465.99,743.76,1.45,9.66,477.92,0.08,17.84,0.49,1.0
7.26,178.83,268.19,2.71,34.0,167.09,0.24,42.67,0.42,1.0
7.56,173.32,359.12,1.58,57.33,232.17,0.17,27.29,0.21,1.0
7.08,10.0,10.0,1.18,73.21,5.0,0.83,5.39,16.47,
6.93,371.31,595.39,0.93,54.89,400.16,0.38,26.12,0.11,1.0
8.47,30.77,66.44,0.34,75.98,35.28,0.08,3.84,0.26,1.0
5.76,313.87,343.36,0.76,,255.04,0.71,15.59,0.11,
8.1,50.15,80.54,0.23,84.67,81.65,1.11,4.37,0.43,1.0
6.9,200.05,182.23,1.01,4.87,100.62,1.33,10.98,0.62,1.0
6.8,21.01,132.55,2.82,89.34,87.55,1.82,51.43,0.97,1.0
7.61,28.39,178.42,1.99,70.1,102.96,0.66,30.69,0.52,1.0
6.21,59.3,192.18,1.61,,118.38,0.5,24.92,8.28,
6.75,173.66,190.35,1.31,79.48,163.77,1.15,,5.04,
6.72,367.81,466.67,1.92,89.8,297.18,0.01,36.98,12.38,
7.22,10.0,79.03,2.03,100.32,58.57,1.0,28.75,0.15,1.0
6.76,183.44,344.11,0.88,19.26,234.5,0.52,20.82,0.15,
8.68,267.71,543.59,2.46,57.18,333.32,0.6,53.4,11.19,
8.84,27.83,197.36,1.67,77.78,111.18,0.35,33.35,0.33,1.0
5.78,129.77,156.42,2.3,79.45,77.55,0.14,34.99,0.05,
7.84,163.49,253.9,1.97,66.38,147.31,0.51,26.66,0.16,1.0
8.09,322.09,535.95,0.58,32.93,291.36,0.37,33.98,0.33,1.0
7.83,133.29,338.82,3.3,89.52,231.13,3.22,54.35,1.58,1.0
6.87,198.25,193.76,1.99,89.75,167.03,2.87,31.92,1.66,1.0
7.2,212.9,396.78,1.63,43.83,260.86,1.03,22.66,0.68,1.0
4.11,74.41,79.54,2.58,18.66,23.38,2.34,29.77,0.25,
7.06,189.04,436.27,0.84,20.88,270.72,1.39,,1.0,1.0
6.43,219.51,381.72,0.43,104.59,238.94,0.42,21.6,1.04,1.0
7.31,157.63,238.44,2.56,88.03,134.63,0.93,30.55,1.21,1.0
6.2,95.72,132.28,3.15,49.2,103.19,0.25,45.3,0.51,1.0
7.24,81.33,122.66,2.29,42.03,95.94,1.16,33.24,0.11,1.0
6.4,268.9,406.96,2.81,,241.42,0.05,56.42,0.05,1.0
7.57,270.95,545.8,0.73,46.62,369.27,1.78,3.34,1.23,1.0
3.94,113.39,172.54,1.64,2.36,142.69,0.88,27.18,0.03,
3.83,240.69,391.68,1.34,56.36,292.64,0.06,25.25,0.18,
8.27,17.58,10.0,3.03,97.41,63.8,2.05,31.57,0.33,1.0
8.67,113.46,183.08,2.49,10.78,100.96,2.1,22.63,0.01,1.0
5.38,112.61,293.79,3.03,59.54,247.45,1.92,38.32,16.64,
6.73,10.0,118.06,1.38,89.91,69.66,1.49,23.17,0.17,1.0
7.16,10.0,112.7,0.87,58.81,61.4,1.13,14.19,0.01,1.0
5.41,140.74,166.44,3.33,29.04,114.73,0.51,48.75,11.04,
6.08,256.45,358.44,2.03,50.42,221.34,0.15,36.92,0.19,1.0
6.61,199.7,262.53,3.06,88.29,178.63,0.34,37.41,1.05,1.0
7.5,21.34,10.0,1.94,60.5,5.0,0.43,27.32,0.3,1.0
7.47,10.0,10.0,4.2,49.87,5.0,0.44,61.92,0.54,
7.7,55.84,178.63,3.18,96.25,141.82,0.83,39.37,0.14,1.0
7.75,243.44,391.54,1.84,70.6,253.36,0.23,50.62,0.35,1.0
7.67,12.78,10.0,2.02,1.88,9.33,0.21,8.7,0.15,1.0
7.55,108.89,200.05,2.02,75.26,139.54,1.26,42.77,1.51,1.0
7.44,135.3,194.75,0.86,87.98,150.0,0.01,20.96,0.03,1.0
7.93,347.18,577.67,1.52,0.51,342.38,0.16,30.85,0.16,1.0
5.61,139.84,223.0,1.44,,156.64,0.57,22.59,1.12,
8.64,194.01,376.6,2.23,8.32,239.43,0.16,46.82,0.33,1.0
5.64,246.05,328.25,1.18,45.9,216.7,3.21,13.29,0.46,
6.54,10.0,10.0,1.85,90.39,27.7,1.11,31.67,0.53,1.0
7.22,205.65,453.64,1.63,14.36,270.98,0.57,25.24,0.04,
7.94,167.3,343.08,2.08,72.2,202.75,0.12,28.81,0.01,1.0
5.0,223.57,401.65,3.47,,222.37,0.49,53.24,17.96,
7.38,700.85,1085.25,3.1,57.21,694.43,1.05,36.94,0.16,1.0
8.03,10.0,10.0,0.69,33.73,33.11,3.47,3.7,0.24,1.0
8.2,377.66,644.94,1.95,133.94,416.8,0.64,45.03,0.57,1.0
6.84,83.07,242.51,1.7,,130.83,1.18,54.27,0.13,1.0
7.16,253.75,357.47,1.35,49.42,222.64,0.22,25.5,6.44,
6.91,141.94,290.9,4.15,,159.33,0.98,70.63,0.31,
7.09,124.09,215.15,1.47,28.01,117.35,0.27,24.62,10.49,
6.57,185.63,186.03,1.54,,128.7,0.22,27.69,0.16,1.0
6.69,244.98,365.9,3.75,142.03,214.36,0.71,61.75,0.11,1.0
7.75,10.0,10.0,2.97,35.78,28.75,0.24,54.89,19.01,
7.51,181.59,450.12,1.56,41.56,291.15,1.28,38.72,0.2,1.0
7.79,126.84,216.76,2.76,48.29,142.61,2.77,32.56,0.27,
7.57,10.0,73.99,1.76,4.71,42.52,0.5,54.69,0.79,1.0
7.96,158.43,210.0,1.83,92.21,151.96,0.39,28.79,0.5,1.0
8.1,332.97,551.43,1.19,75.61,374.09,0.19,19.31,0.29,1.0
6.01,124.03,192.93,,86.72,132.11,0.49,,5.18,
4.93,187.68,371.69,0.58,1.28,252.89,0.82,4.54,0.72,
7.21,179.35,153.81,0.9,95.41,95.73,0.47,19.59,0.1,1.0
7.38,413.08,451.58,2.42,90.79,304.37,0.98,42.66,1.32,1.0
6.86,248.33,437.1,2.15,40.7,277.36,1.09,37.95,10.86,
8.13,419.49,669.72,3.09,85.8,435.36,0.1,41.75,0.82,1.0
8.98,163.8,264.89,0.8,60.91,166.68,1.2,,0.28,1.0
7.55,247.25,433.73,3.79,,272.78,2.31,38.85,0.1,1.0
7.47,150.16,319.61,3.69,42.69,193.97,0.03,55.55,0.26,1.0
8.08,281.26,559.17,2.04,30.74,372.82,0.8,33.89,0.13,1.0
5.91,36.96,156.23,1.31,53.42,127.76,0.93,15.51,0.07,
7.42,289.66,449.0,1.37,90.85,315.27,1.24,13.55,0.14,1.0
8.18,130.65,261.06,2.2,,144.56,0.49,35.94,1.01,1.0
6.89,43.38,287.16,3.88,32.26,212.44,1.71,57.16,0.06,1.0
6.42,213.25,318.35,1.91,17.13,200.56,0.78,23.81,1.8,
7.25,208.36,350.45,0.42,18.84,239.81,0.53,,,1.0
7.35,233.39,276.75,3.9,17.08,161.77,1.27,49.99,0.54,1.0
6.67,224.42,342.94,1.6,52.73,225.75,2.62,33.32,0.97,1.0
9.08,295.44,615.62,3.45,70.93,406.43,1.67,42.18,1.36,
7.02,186.77,497.09,2.63,63.93,293.42,2.67,46.02,0.08,1.0
6.48,248.32,473.83,1.85,57.43,320.16,0.31,41.64,0.6,
7.33,94.08,208.89,2.97,74.87,162.7,0.13,36.58,8.9,
8.13,120.45,122.15,1.27,145.21,75.91,0.76,14.53,0.22,1.0
7.41,294.19,491.06,1.71,55.44,346.39,0.05,35.51,0.66,1.0
7.79,341.81,475.21,1.47,90.85,305.09,1.12,34.37,0.21,1.0
6.7,290.48,594.53,1.8,88.57,403.44,0.27,20.54,0.19,1.0
8.59,155.79,179.2,2.55,121.11,72.11,0.61,22.0,12.98,
7.85,188.5,254.09,2.54,72.42,213.53,1.07,50.65,0.03,1.0
8.24,10.0,10.0,0.44,16.23,36.41,0.66,12.51,0.06,1.0
7.69,199.03,221.51,1.46,62.2,138.29,0.27,25.97,1.04,1.0
8.06,304.26,499.31,1.64,60.05,285.11,2.12,33.71,0.01,1.0
6.7,143.62,206.7,2.59,82.61,140.12,1.45,26.94,0.59,1.0
7.01,213.61,428.1,0.6,15.06,249.38,0.92,12.91,9.18,
8.48,220.9,261.9,2.71,100.65,179.13,1.2,37.74,0.42,1.0
8.65,159.59,364.81,0.87,50.21,245.36,0.54,19.13,0.66,1.0
6.48,83.88,70.46,2.25,83.58,26.97,0.47,41.72,0.53,1.0
7.6,231.26,317.04,3.11,62.39,228.5,0.17,56.48,18.05,
3.05,10.0,10.0,0.77,54.9,22.61,1.63,17.58,19.06,
6.84,256.74,262.62,2.24,59.35,190.22,0.48,36.13,17.74,
7.63,17.58,10.0,1.81,76.88,6.68,1.18,30.06,1.79,1.0
5.39,357.41,541.2,1.02,128.35,323.47,0.36,19.01,0.53,
7.76,196.93,455.48,0.78,,315.62,1.59,5.38,0.11,1.0
7.14,341.89,393.33,1.29,71.6,250.26,0.11,15.68,0.3,1.0
7.81,301.29,604.2,1.19,51.76,364.94,0.98,21.87,0.34,1.0
7.11,117.37,110.22,1.79,42.92,98.68,1.65,33.42,0.71,1.0
7.73,339.94,649.47,1.57,,464.15,1.08,17.09,0.55,1.0
8.52,260.91,486.44,2.42,73.21,315.36,1.19,25.59,0.36,1.0
5.74,191.05,252.69,2.81,45.0,207.43,0.75,25.37,0.57,
8.04,367.65,527.12,0.47,16.62,344.46,0.82,,0.01,1.0
6.17,10.0,78.74,1.75,51.7,43.57,0.07,20.84,0.75,1.0
8.38,135.58,135.1,1.05,38.29,75.2,0.29,11.28,0.12,1.0
6.89,159.22,178.28,0.91,,148.62,1.28,10.89,0.53,1.0
6.43,69.63,194.2,0.43,53.53,110.63,2.91,,0.06,1.0
7.96,133.15,88.69,0.36,73.2,72.35,0.78,,0.06,1.0
7.69,253.93,544.62,1.48,28.03,342.82,1.29,23.48,0.02,1.0
6.6,117.7,248.23,2.39,60.47,152.14,1.15,37.16,1.21,1.0
6.4,246.25,370.5,2.39,54.32,261.43,7.39,42.05,0.46,
7.25,68.88,185.93,0.95,91.82,113.25,1.58,22.36,10.98,
6.44,19.19,10.0,0.85,45.85,5.0,0.99,16.62,0.78,1.0
6.55,224.46,354.01,2.24,82.04,252.76,0.12,34.74,0.49,1.0
7.49,10.0,10.0,1.57,37.47,38.45,0.45,32.28,19.85,
6.63,213.38,286.27,2.89,128.69,198.97,0.29,57.59,0.33,1.0
7.74,10.0,26.34,0.89,32.53,5.0,1.92,6.57,,1.0
8.59,430.05,697.46,0.14,22.6,443.13,0.59,9.84,16.03,
7.28,346.69,482.27,2.61,45.98,315.08,0.77,32.95,0.06,1.0
7.5,232.22,321.15,0.11,20.88,215.17,3.35,3.84,0.54,1.0
9.01,370.95,552.74,0.55,0.05,339.52,1.81,19.01,10.33,
6.45,20.98,130.74,1.33,79.1,99.44,1.56,17.22,0.3,1.0
8.35,271.46,408.7,1.72,,267.36,0.15,16.2,0.22,1.0
8.26,160.05,339.96,2.6,21.3,186.66,0.02,34.43,0.08,1.0
8.08,147.61,352.8,0.99,,210.74,0.13,5.26,1.59,1.0
8.43,329.1,554.47,3.32,55.69,350.32,1.35,39.02,1.35,1.0
7.62,222.68,446.5,0.48,,288.77,0.53,19.32,6.41,
6.93,254.18,357.74,1.63,71.91,270.32,0.12,29.74,0.88,1.0
8.28,46.73,10.0,2.83,76.24,11.26,1.34,35.26,0.34,1.0
4.94,10.0,107.99,2.88,,53.38,0.22,33.4,0.74,
8.28,123.86,275.46,,57.62,183.46,0.89,,0.08,1.0
7.44,118.22,318.67,4.71,70.64,200.1,1.35,63.42,0.07,
3.37,21.24,73.96,1.68,87.61,54.57,0.94,36.69,1.11,
7.55,492.16,782.34,2.28,,520.13,5.06,33.08,1.14,1.0
8.15,349.85,603.28,1.67,,416.32,0.57,46.31,0.31,1.0
8.22,222.77,420.42,4.14,110.11,272.79,0.37,61.63,1.02,
7.06,253.65,314.41,3.29,17.12,237.14,0.22,43.58,0.55,1.0
7.65,39.29,257.56,4.11,28.9,185.57,0.7,70.89,0.1,
6.35,127.61,109.62,2.47,75.32,57.1,1.91,20.4,0.2,1.0
8.19,162.08,315.5,2.91,3.23,249.27,2.94,45.57,0.07,1.0
6.77,207.02,351.55,0.96,39.37,235.05,3.58,2.21,0.74,1.0
8.03,10.0,51.65,1.74,85.67,16.87,0.76,4.21,2.11,1.0
6.48,297.25,366.84,2.91,,271.5,0.93,42.52,0.4,1.0
8.23,99.82,268.95,2.32,30.0,216.37,0.87,43.12,15.01,
7.66,10.0,10.0,2.11,4.93,5.84,0.63,33.72,0.69,1.0
6.77,103.13,127.92,1.22,19.04,73.08,0.17,19.3,0.13,1.0
3.19,49.82,217.28,3.17,97.43,137.78,0.07,21.49,0.2,
6.93,360.53,677.54,3.15,106.2,454.69,0.57,45.72,0.27,1.0
8.0,239.38,411.31,3.04,60.31,292.91,0.21,44.18,0.45,
3.77,10.0,32.9,2.29,71.29,32.8,2.18,40.59,0.95,
4.56,197.54,397.21,2.01,70.19,260.22,1.43,19.57,0.15,
6.61,10.0,10.0,3.12,23.11,36.46,0.96,55.16,0.32,1.0
7.06,342.4,516.54,2.94,59.53,329.49,0.05,38.96,0.7,1.0
4.54,106.33,205.78,1.11,,154.37,0.97,13.62,0.05,
8.12,222.68,281.27,2.32,11.66,177.07,0.97,40.02,0.36,1.0
8.7,289.21,565.16,2.66,46.53,375.97,0.58,27.98,0.08,1.0
8.72,10.0,42.57,1.33,7.56,25.4,1.07,28.15,0.39,1.0
6.97,108.66,20.58,2.9,,12.26,1.95,30.01,0.73,1.0
7.25,77.07,183.28,2.72,21.52,111.58,1.42,47.32,0.14,1.0
7.07,239.06,507.68,1.58,95.85,356.89,0.64,21.4,0.95,
6.86,10.0,10.0,0.64,112.29,5.0,0.3,8.11,0.2,1.0
5.93,59.76,10.0,2.59,48.7,5.0,0.65,8.14,0.11,
7.39,108.8,209.77,3.96,73.29,178.77,2.92,53.56,0.31,1.0
6.37,233.52,410.35,2.26,27.46,286.28,1.71,31.73,1.04,1.0
7.37,316.07,540.05,2.64,,303.33,0.03,55.11,15.93,
9.09,175.07,207.37,0.83,14.26,123.48,1.53,12.16,0.2,
6.99,121.65,217.71,1.95,37.67,105.27,0.19,22.75,0.53,1.0
3.69,435.67,530.78,1.89,55.64,325.99,0.85,36.66,0.22,
8.13,12.69,10.0,1.11,45.96,5.0,1.64,11.65,0.04,1.0
7.62,186.47,222.3,2.44,38.73,141.75,0.82,46.92,0.2,1.0
7.63,243.11,338.08,2.4,27.01,196.92,0.52,38.63,0.86,1.0
7.11,232.08,389.84,1.71,63.75,254.6,0.39,16.59,1.72,1.0
7.21,89.47,198.04,1.99,,96.22,0.36,39.19,0.02,1.0
6.63,200.73,306.89,4.05,82.08,201.14,1.82,66.8,0.42,
8.08,31.5,10.0,1.38,26.55,5.0,1.74,29.65,0.06,1.0
6.01,72.38,168.35,0.87,132.68,139.47,1.73,11.21,0.57,1.0
8.18,242.74,390.7,0.84,37.39,282.18,0.33,18.68,,1.0
6.28,123.93,103.54,2.25,30.79,83.01,1.6,52.94,0.01,1.0
8.17,290.58,311.8,,27.49,196.14,0.04,1.71,0.75,1.0
7.12,276.34,389.37,1.49,31.19,292.8,0.23,18.36,6.84,
6.41,232.03,231.49,1.03,74.29,119.41,0.72,30.91,0.18,1.0
7.86,168.99,334.09,1.94,48.31,189.09,0.52,35.81,1.59,1.0
4.11,99.57,107.45,1.95,89.48,68.17,0.12,24.7,2.11,
7.05,222.13,258.68,2.34,68.58,213.22,0.04,52.52,0.09,1.0
7.98,208.41,422.04,2.62,51.26,270.28,0.94,27.2,13.25,
5.57,174.56,331.39,3.14,64.92,211.74,0.38,52.42,19.81,
6.34,196.51,182.69,1.65,97.85,89.91,0.02,36.16,0.3,1.0
8.43,158.15,344.84,1.33,76.27,243.07,0.56,30.72,9.89,
7.22,198.7,442.92,2.85,61.22,306.96,0.37,33.79,0.7,1.0
5.91,82.4,10.0,0.34,66.91,22.28,0.86,,0.72,
6.84,378.93,531.81,2.76,3.89,333.1,2.66,43.66,0.16,1.0
6.66,161.26,232.75,2.14,152.87,137.15,0.37,39.19,0.28,1.0
7.27,228.77,385.1,2.45,71.13,224.45,5.86,25.96,0.33,1.0
7.1,301.74,539.45,2.36,75.12,352.32,0.09,38.49,0.18,1.0
7.54,29.5,25.67,2.14,48.85,5.0,0.09,17.47,0.05,1.0
7.34,173.86,158.11,2.18,,79.22,1.25,43.27,9.53,
8.49,157.3,242.29,0.89,39.39,149.01,1.38,7.63,0.1,1.0
7.74,194.3,143.25,1.35,53.04,83.33,0.55,18.59,0.11,1.0
7.77,343.3,646.99,3.78,17.09,409.78,0.34,65.3,0.14,1.0
8.33,76.2,128.65,2.67,16.74,92.95,1.58,47.8,0.15,1.0
7.09,94.68,188.89,3.06,36.43,124.36,3.13,50.65,0.3,1.0
6.39,150.27,340.88,1.65,80.86,215.81,4.6,35.11,0.36,1.0
8.37,28.09,59.57,2.08,100.23,42.38,1.01,35.28,0.18,1.0
7.51,153.38,220.86,2.53,56.84,123.73,1.35,52.38,1.19,1.0
7.51,244.31,363.49,3.21,27.3,238.37,1.73,30.98,0.4,1.0
3.53,248.58,233.43,1.85,35.5,154.74,1.6,27.11,18.55,
6.91,192.02,281.32,2.48,53.98,152.8,5.02,36.14,1.29,
8.08,173.99,194.13,2.71,58.72,146.1,1.66,38.47,0.09,1.0
8.19,10.0,10.0,2.93,67.4,5.0,1.09,49.0,0.28,1.0
8.03,302.49,364.32,1.8,32.43,238.61,0.47,29.12,0.28,1.0
8.03,510.51,650.99,3.28,71.17,446.43,0.91,57.47,0.22,
7.86,208.76,303.68,0.58,68.01,215.91,2.12,,,1.0
7.51,157.4,345.05,0.87,34.2,224.97,0.36,35.98,0.85,1.0
7.26,235.69,438.54,2.48,,277.8,0.03,33.3,6.76,
8.37,41.78,46.13,2.45,14.6,48.94,0.4,39.68,2.7,1.0
7.1,407.13,640.5,1.77,112.7,429.82,3.22,24.41,0.74,1.0
